start,end,run_id,task,variant,model,rep,attempt,harness_rc,wall_s,status
2026-09-23 09:57:28,2026-09-23 10:00:43,A3-ripgrep__opus-5.5__r1,A3-ripgrep,default,opus-5.5,r1,1,0,192.4,COUNTED
2026-09-23 09:57:28,2026-09-23 10:01:18,A1-etcd__gpt-6-astra__r1,A1-etcd,default,gpt-6-astra,r1,1,0,219.7,COUNTED
2026-09-23 09:57:28,2026-09-23 10:05:53,A2-pytest__gpt-6-sol__r1,A2-pytest,default,gpt-6-sol,r1,1,0,492.2,COUNTED
2026-09-23 10:05:53,2026-09-23 10:07:15,A2-pytest__opus-5.5__r1,A2-pytest,default,opus-5.5,r1,1,0,79.6,COUNTED
2026-09-23 10:00:43,2026-09-23 10:08:01,A3-ripgrep__gpt-6-astra__r1,A3-ripgrep,default,gpt-6-astra,r1,1,0,437.6,COUNTED
2026-09-23 10:07:15,2026-09-23 10:10:05,A2-pytest__gpt-6-astra__r1,A2-pytest,default,gpt-6-astra,r1,1,0,168.1,COUNTED
2026-09-23 10:10:05,2026-09-23 10:14:56,B1-flexdate__gpt-6-astra__r1,B1-flexdate,default,gpt-6-astra,r1,1,0,289.9,"not counted: discarded batch v1 (B venv lacked pytest, harness bug)"
2026-09-23 10:08:01,2026-09-23 10:15:59,A3-ripgrep__gpt-6-sol__r1,A3-ripgrep,default,gpt-6-sol,r1,1,0,477.1,COUNTED
2026-09-23 10:14:56,2026-09-23 10:17:33,B1-flexdate__gpt-6-sol__r1,B1-flexdate,default,gpt-6-sol,r1,1,0,154.8,"not counted: discarded batch v1 (B venv lacked pytest, harness bug)"
2026-09-23 10:15:59,2026-09-23 10:17:47,B2-exprcalc__gpt-6-sol__r1,B2-exprcalc,default,gpt-6-sol,r1,1,0,101.9,"not counted: discarded batch v1 (B venv lacked pytest, harness bug)"
2026-09-23 10:17:47,2026-09-23 10:18:23,B2-exprcalc__opus-5.5__r1,B2-exprcalc,default,opus-5.5,r1,1,0,30.1,"not counted: discarded batch v1 (B venv lacked pytest, harness bug)"
2026-09-23 10:17:33,2026-09-23 10:18:37,B1-flexdate__opus-5.5__r1,B1-flexdate,default,opus-5.5,r1,1,0,57.5,"not counted: discarded batch v1 (B venv lacked pytest, harness bug)"
2026-09-23 10:01:18,2026-09-23 10:18:56,A1-etcd__gpt-6-sol__r1,A1-etcd,default,gpt-6-sol,r1,1,0,1055.2,COUNTED
2026-09-23 10:18:37,2026-09-23 10:19:12,B3-paylink__opus-5.5__r1,B3-paylink,default,opus-5.5,r1,1,0,34.5,"not counted: discarded batch v1 (B venv lacked pytest, harness bug)"
2026-09-23 10:18:56,2026-09-23 10:20:15,A1-etcd__opus-5.5__r1,A1-etcd,default,opus-5.5,r1,1,0,76.3,COUNTED
2026-09-23 10:18:23,2026-09-23 10:20:41,B2-exprcalc__gpt-6-astra__r1,B2-exprcalc,default,gpt-6-astra,r1,1,0,137.0,"not counted: discarded batch v1 (B venv lacked pytest, harness bug)"
2026-09-23 10:19:12,2026-09-23 10:21:13,B3-paylink__gpt-6-astra__r1,B3-paylink,default,gpt-6-astra,r1,1,0,120.3,"not counted: discarded batch v1 (B venv lacked pytest, harness bug)"
2026-09-23 10:20:15,2026-09-23 10:21:33,B1-flexdate__prompt_noconstraint__gpt-6-astra__r1,B1-flexdate,noconstraint,gpt-6-astra,r1,1,0,76.5,"not counted: discarded batch v1 (B venv lacked pytest, harness bug)"
2026-09-23 10:21:13,2026-09-23 10:23:02,B3-paylink__gpt-6-sol__r1,B3-paylink,default,gpt-6-sol,r1,1,0,108.6,"not counted: discarded batch v1 (B venv lacked pytest, harness bug)"
2026-09-23 10:20:41,2026-09-23 10:23:15,B2-exprcalc__prompt_noconstraint__gpt-6-sol__r1,B2-exprcalc,noconstraint,gpt-6-sol,r1,1,0,153.3,"not counted: discarded batch v1 (B venv lacked pytest, harness bug)"
2026-09-23 10:23:02,2026-09-23 10:23:36,B3-paylink__prompt_noconstraint__opus-5.5__r1,B3-paylink,noconstraint,opus-5.5,r1,1,0,32.5,"not counted: discarded batch v1 (B venv lacked pytest, harness bug)"
2026-09-23 10:23:15,2026-09-23 10:23:56,B2-exprcalc__prompt_noconstraint__opus-5.5__r1,B2-exprcalc,noconstraint,opus-5.5,r1,1,0,39.8,"not counted: discarded batch v1 (B venv lacked pytest, harness bug)"
2026-09-23 10:21:33,2026-09-23 10:24:12,B1-flexdate__prompt_noconstraint__gpt-6-sol__r1,B1-flexdate,noconstraint,gpt-6-sol,r1,1,0,157.6,"not counted: discarded batch v1 (B venv lacked pytest, harness bug)"
2026-09-23 10:24:12,2026-09-23 10:24:38,B1-flexdate__prompt_noconstraint__opus-5.5__r1,B1-flexdate,noconstraint,opus-5.5,r1,1,0,25.3,"not counted: discarded batch v1 (B venv lacked pytest, harness bug)"
2026-09-23 10:24:38,2026-09-23 10:27:53,C-mcp__gpt-6-astra__r1,C-mcp,default,gpt-6-astra,r1,1,0,194.0,COUNTED
2026-09-23 10:23:36,2026-09-23 10:28:50,B3-paylink__prompt_noconstraint__gpt-6-astra__r1,B3-paylink,noconstraint,gpt-6-astra,r1,1,0,313.4,"not counted: discarded batch v1 (B venv lacked pytest, harness bug)"
2026-09-23 10:23:56,2026-09-23 10:30:50,B2-exprcalc__prompt_noconstraint__gpt-6-astra__r1,B2-exprcalc,noconstraint,gpt-6-astra,r1,1,0,413.2,"not counted: discarded batch v1 (B venv lacked pytest, harness bug)"
2026-09-23 10:27:53,2026-09-23 10:33:37,C-mcp__gpt-6-sol__r1,C-mcp,default,gpt-6-sol,r1,1,0,344.2,COUNTED
2026-09-23 10:28:50,2026-09-23 10:35:29,B3-paylink__prompt_noconstraint__gpt-6-sol__r1,B3-paylink,noconstraint,gpt-6-sol,r1,1,0,397.4,"not counted: discarded batch v1 (B venv lacked pytest, harness bug)"
2026-09-23 10:30:50,2026-09-23 10:37:45,D-sqlx__gpt-6-sol__r1,D-sqlx,default,gpt-6-sol,r1,1,0,413.7,COUNTED
2026-09-23 10:35:29,2026-09-23 10:40:12,A1-etcd__gpt-6-sol__r2,A1-etcd,default,gpt-6-sol,r2,1,0,274.3,COUNTED
2026-09-23 10:40:12,2026-09-23 10:41:35,A1-etcd__opus-5.5__r2,A1-etcd,default,opus-5.5,r2,1,0,80.7,COUNTED
2026-09-23 10:33:37,2026-09-23 10:44:59,C-mcp__opus-5.5__r1,C-mcp,default,opus-5.5,r1,1,0,678.8,COUNTED
2026-09-23 10:41:35,2026-09-23 10:46:06,A1-etcd__gpt-6-astra__r2,A1-etcd,default,gpt-6-astra,r2,1,0,268.0,COUNTED
2026-09-23 10:46:06,2026-09-23 10:50:17,A3-ripgrep__gpt-6-astra__r2,A3-ripgrep,default,gpt-6-astra,r2,1,0,242.6,COUNTED
2026-09-23 10:37:45,2026-09-23 10:51:37,D-sqlx__opus-5.5__r1,D-sqlx,default,opus-5.5,r1,1,0,830.9,COUNTED
2026-09-23 10:44:59,2026-09-23 10:51:45,A2-pytest__opus-5.5__r2,A2-pytest,default,opus-5.5,r2,1,0,389.3,COUNTED
2026-09-23 10:50:17,2026-09-23 10:57:38,A3-ripgrep__gpt-6-sol__r2,A3-ripgrep,default,gpt-6-sol,r2,1,0,422.4,not counted: discarded: provider capacity error mid-run
2026-09-23 10:51:37,2026-09-23 10:57:59,D-sqlx__gpt-6-astra__r1,D-sqlx,default,gpt-6-astra,r1,1,0,381.6,not counted: discarded: provider capacity error mid-run
2026-09-23 10:57:59,2026-09-23 10:58:29,B1-flexdate__gpt-6-sol__r2,B1-flexdate,default,gpt-6-sol,r2,1,0,29.6,"not counted: discarded batch v1 (B venv lacked pytest, harness bug)"
2026-09-23 10:58:29,2026-09-23 10:59:42,B1-flexdate__opus-5.5__r2,B1-flexdate,default,opus-5.5,r2,1,0,71.9,"not counted: discarded batch v1 (B venv lacked pytest, harness bug)"
2026-09-23 10:51:45,2026-09-23 10:59:54,A2-pytest__gpt-6-astra__r2,A2-pytest,default,gpt-6-astra,r2,1,0,486.1,COUNTED
2026-09-23 10:57:38,2026-09-23 11:00:38,A3-ripgrep__opus-5.5__r2,A3-ripgrep,default,opus-5.5,r2,1,0,180.1,COUNTED
2026-09-23 11:00:38,2026-09-23 11:01:50,B2-exprcalc__opus-5.5__r2,B2-exprcalc,default,opus-5.5,r2,1,0,70.7,"not counted: discarded batch v1 (B venv lacked pytest, harness bug)"
2026-09-23 10:59:42,2026-09-23 11:06:09,B1-flexdate__gpt-6-astra__r2,B1-flexdate,default,gpt-6-astra,r2,1,0,385.4,"not counted: discarded batch v1 (B venv lacked pytest, harness bug)"
2026-09-23 11:01:50,2026-09-23 11:06:16,B2-exprcalc__gpt-6-astra__r2,B2-exprcalc,default,gpt-6-astra,r2,1,0,265.1,"not counted: discarded batch v1 (B venv lacked pytest, harness bug)"
2026-09-23 10:59:54,2026-09-23 11:06:33,A2-pytest__gpt-6-sol__r2,A2-pytest,default,gpt-6-sol,r2,1,0,390.5,COUNTED
2026-09-23 11:06:33,2026-09-23 11:07:20,B1-flexdate__prompt_noconstraint__gpt-6-sol__r2,B1-flexdate,noconstraint,gpt-6-sol,r2,1,0,45.8,"not counted: discarded batch v1 (B venv lacked pytest, harness bug)"
2026-09-23 11:06:09,2026-09-23 11:07:48,B3-paylink__gpt-6-astra__r2,B3-paylink,default,gpt-6-astra,r2,1,0,97.9,"not counted: discarded batch v1 (B venv lacked pytest, harness bug)"
2026-09-23 11:07:20,2026-09-23 11:07:52,B1-flexdate__prompt_noconstraint__opus-5.5__r2,B1-flexdate,noconstraint,opus-5.5,r2,1,0,30.6,"not counted: discarded batch v1 (B venv lacked pytest, harness bug)"
2026-09-23 11:06:16,2026-09-23 11:10:13,B2-exprcalc__gpt-6-sol__r2,B2-exprcalc,default,gpt-6-sol,r2,1,0,235.8,"not counted: discarded batch v1 (B venv lacked pytest, harness bug)"
2026-09-23 11:07:48,2026-09-23 11:10:20,B3-paylink__gpt-6-sol__r2,B3-paylink,default,gpt-6-sol,r2,1,0,151.6,"not counted: discarded batch v1 (B venv lacked pytest, harness bug)"
2026-09-23 11:10:20,2026-09-23 11:10:49,B3-paylink__opus-5.5__r2,B3-paylink,default,opus-5.5,r2,1,0,28.2,"not counted: discarded batch v1 (B venv lacked pytest, harness bug)"
2026-09-23 11:10:13,2026-09-23 11:10:57,B2-exprcalc__prompt_noconstraint__opus-5.5__r2,B2-exprcalc,noconstraint,opus-5.5,r2,1,0,42.9,"not counted: discarded batch v1 (B venv lacked pytest, harness bug)"
2026-09-23 11:10:49,2026-09-23 11:12:17,B3-paylink__prompt_noconstraint__gpt-6-astra__r2,B3-paylink,noconstraint,gpt-6-astra,r2,1,0,87.2,"not counted: discarded batch v1 (B venv lacked pytest, harness bug)"
2026-09-23 11:07:52,2026-09-23 11:12:22,B1-flexdate__prompt_noconstraint__gpt-6-astra__r2,B1-flexdate,noconstraint,gpt-6-astra,r2,1,0,268.4,"not counted: discarded batch v1 (B venv lacked pytest, harness bug)"
2026-09-23 11:10:57,2026-09-23 11:15:10,B2-exprcalc__prompt_noconstraint__gpt-6-astra__r2,B2-exprcalc,noconstraint,gpt-6-astra,r2,1,0,250.9,"not counted: discarded batch v1 (B venv lacked pytest, harness bug)"
2026-09-23 11:12:22,2026-09-23 11:17:05,C-mcp__gpt-6-sol__r2,C-mcp,default,gpt-6-sol,r2,1,0,281.6,COUNTED
2026-09-23 11:12:17,2026-09-23 11:22:55,B3-paylink__prompt_noconstraint__gpt-6-sol__r2,B3-paylink,noconstraint,gpt-6-sol,r2,1,0,636.2,"not counted: discarded batch v1 (B venv lacked pytest, harness bug)"
2026-09-23 11:15:10,2026-09-23 11:22:58,B2-exprcalc__prompt_noconstraint__gpt-6-sol__r2,B2-exprcalc,noconstraint,gpt-6-sol,r2,1,0,464.9,"not counted: discarded batch v1 (B venv lacked pytest, harness bug)"
